times,dyno velocities,alternator currents,battery currents
599,-1.52611E-20,0,-21.42638506
600,-1.47184E-20,0,-21.42638506
601,0.013021969,-75.12138501,-110.1395883
602,0.817954719,-101.393847,47.98420281
603,2.734175011,-101.3706969,79.92879724
604,5.607924081,-101.3706969,79.92879724
605,9.629338379,-101.3706969,79.92879724
606,15.9197449,-101.3706969,79.92879724
607,21.54722487,-101.3706969,79.92879724
608,27.2828177,-101.3706969,79.92879724
609,32.27389715,-101.3706969,79.92879724
610,36.15529657,-101.3706969,79.92879724
611,40.29796115,-101.3706969,79.92879724
612,44.40762648,-101.3706969,79.92879724
613,47.06129819,-101.3706969,79.92879724
614,48.54412073,-101.3706969,79.92879724
615,48.86514673,-101.3706969,79.92879724
616,48.66399454,-101.3706969,79.92879724
617,48.45555166,-101.3706969,79.92879724
618,48.14545005,-101.3706969,79.92879724
619,47.56860947,-101.3706969,79.92879724
620,46.6197297,-101.3706969,79.92879724
621,45.49954439,-101.3706969,79.92879724
622,44.60724839,-101.3706969,79.92879724
623,44.18905258,-101.3706969,79.92879724
624,44.17726461,-101.3706969,79.92879724
625,44.54172228,-101.3706969,79.92879724
626,45.20534379,-101.3706969,79.92879724
627,45.79830358,-101.3706969,79.92879724
628,46.06367189,-101.3706969,79.92879724
629,46.07579376,-101.3706969,79.92879724
630,46.08581611,-101.3706969,79.92879724
631,46.3277215,-101.3706969,79.92879724
632,47.05485492,-101.3706969,79.92879724
633,48.17002836,-101.3706969,79.92879724
634,49.5107271,-101.3706969,79.92879724
635,50.94564673,-101.3706969,79.92879724
636,52.19546021,-101.3706969,79.92879724
637,53.01411939,-70.95948781,49.52224255
638,53.31341174,0,-21.42638506
639,53.21440137,0,-21.42638506
640,53.00334082,0,-21.42638506
641,52.77743196,0,-21.42638506
642,52.83771237,0,-21.42638506
643,53.55751386,0,-21.42638506
644,54.36803365,0,-21.42638506
645,54.99666915,0,-21.42638506
646,55.50728842,0,-21.42638506
647,55.97741372,0,-21.42638506
648,56.42851382,0,-21.42638506
649,56.8139082,0,-21.42638506
650,56.97979328,0,-21.42638506
651,56.72483153,0,-21.42638506
652,55.4245009,-2.027413937,-19.39928141
653,53.33773186,-101.3706969,79.92879735
654,51.21776035,0,-21.42638506
655,48.69090611,-101.3706969,79.92879735
656,45.16592935,-101.3706969,79.92879735
657,41.11162453,-101.3706969,79.92879735
658,37.39552701,-6.082241812,-15.34507412
659,34.97887407,-95.28845506,73.8474864
660,32.29615079,-101.3706969,79.92879735
661,28.17060871,-101.3706969,79.92879735
662,22.73586304,-12.16448362,-9.263763173
663,17.47242381,-89.20621324,67.76617546
664,13.81131211,-14.19189756,-7.236659525
665,12.19105447,0,-21.42638506
666,11.72411349,0,-21.42638506
667,12.69401178,0,-21.42638506
668,15.65401124,0,-21.42638506
669,20.58464983,0,-21.42638506
670,25.43812705,0,-21.42638506
671,30.00886688,0,-21.42638506
672,33.17408639,0,-21.42638506
673,35.13952666,0,-21.42638506
674,37.15214864,0,-21.42638506
675,39.15549758,0,-21.42638506
676,40.45545362,0,-21.42638506
677,40.66452527,0,-21.42638506
678,40.0335243,-64.877246,43.44093168
679,37.50767622,-101.3706969,79.92879735
680,33.80077771,-101.3706969,79.92879735
681,29.41120531,-101.3706969,79.92879735
682,24.85032197,-101.3706969,79.92879735
683,21.08689585,-44.60310662,23.1698952
684,19.27000344,-54.74017631,33.30541344
685,18.20336987,-48.6579345,27.22410249
686,19.48716963,0,-21.42638506
687,22.24772478,0,-21.42638506
688,24.75671699,0,-21.42638506
689,27.0685926,0,-21.42638506
690,29.27767376,0,-21.42638506
691,30.65436304,0,-21.42638506
692,31.16934186,0,-21.42638506
693,31.53065907,0,-21.42638506
694,32.28583498,0,-21.42638506
695,33.04227938,0,-21.42638506
696,33.03121458,0,-21.42638506
697,30.50456897,-30.41120906,8.980169661
698,27.10158726,-101.3706969,79.92879735
699,23.966864,-101.3706969,79.92879735
700,21.99352386,-75.01431568,53.57644992
701,21.17609625,0,-21.42638506
702,20.83279414,0,-21.42638506
703,20.78949771,0,-21.42638506
704,20.80640526,0,-21.42638506
705,20.34672843,0,-21.42638506
706,18.85997143,-14.19189756,-7.236659525
707,16.39860103,-101.3706969,79.92879735
708,13.83150826,-91.23362718,69.79327911
709,12.2869469,0,-21.42638506
710,12.20673872,0,-21.42638506
711,14.56255136,0,-21.42638506
712,18.88394414,0,-21.42638506
713,21.7331796,0,-21.42638506
714,21.82130875,0,-21.42638506
715,20.05959233,-99.34328293,77.9016937
716,16.28136895,-101.3706969,79.92879735
717,13.00041593,-6.082241812,-15.34507412
718,11.84924692,0,-21.42638506
719,12.17511671,0,-21.42638506
720,14.06075702,0,-21.42638506
721,17.10673461,0,-21.42638506
722,19.64834059,0,-21.42638506
723,21.74328801,0,-21.42638506
724,23.4626456,0,-21.42638506
725,25.43674747,0,-21.42638506
726,28.3488836,0,-21.42638506
727,32.39233633,0,-21.42638506
728,36.30584311,0,-21.42638506
729,39.04410911,0,-21.42638506
730,41.09121323,0,-21.42638506
731,42.1131319,0,-21.42638506
732,42.28849567,0,-21.42638506
733,42.33498878,0,-21.42638506
734,42.45261915,0,-21.42638506
735,42.63486636,0,-21.42638506
736,42.93148205,0,-21.42638506
737,43.37955982,0,-21.42638506
738,43.89061726,0,-21.42638506
739,44.16024021,0,-21.42638506
740,44.5916206,0,-21.42638506
741,45.72631461,0,-21.42638506
742,46.81817865,0,-21.42638506
743,47.44371378,0,-21.42638506
744,47.54896122,0,-21.42638506
745,47.55992505,0,-21.42638506
746,47.5501815,0,-21.42638506
747,47.71067311,0,-21.42638506
748,48.19131308,0,-21.42638506
749,48.93837637,0,-21.42638506
750,49.63898919,0,-21.42638506
751,49.9325947,0,-21.42638506
752,49.88776681,0,-21.42638506
753,49.6525828,0,-21.42638506
754,49.08046636,0,-21.42638506
755,48.19053656,-22.30155331,0.871755068
756,47.02201662,-101.3706969,79.92879735
757,45.01587377,-101.3706969,79.92879735
758,41.44362149,-101.3706969,79.92879735
759,36.54881893,-101.3706969,79.92879735
760,31.35660848,-101.3706969,79.92879735
761,26.12431356,-101.3706969,79.92879735
762,20.4851319,-101.3706969,79.92879735
763,15.81907933,-101.3706969,79.92879735
764,12.704694,-91.23362718,69.79327911
765,11.80744477,0,-21.42638506
766,13.63405019,0,-21.42638506
767,17.16248304,0,-21.42638506
768,20.69956562,0,-21.42638506
769,24.11499002,0,-21.42638506
770,27.94220147,0,-21.42638506
771,32.79294718,0,-21.42638506
772,37.15500501,0,-21.42638506
773,41.73068042,0,-21.42638506
774,45.89498527,0,-21.42638506
775,49.1701629,0,-21.42638506
776,52.54181583,0,-21.42638506
777,55.15767949,0,-21.42638506
778,57.20131604,0,-21.42638506
779,59.02435505,0,-21.42638506
780,60.34933873,0,-21.42638506
781,61.50317017,0,-21.42638506
782,62.51398879,0,-21.42638506
783,63.2114774,0,-21.42638506
784,63.65323827,0,-21.42638506
785,63.95636721,0,-21.42638506
786,64.39280928,0,-21.42638506
787,64.99877983,0,-21.42638506
788,65.40092029,0,-21.42638506
789,65.47892358,0,-21.42638506
790,65.46886737,0,-21.42638506
791,65.58027536,0,-21.42638506
792,65.85095271,0,-21.42638506
793,65.9487414,0,-21.42638506
